,title,company,salary,link,description,location,Minimum Experience Required,Education Required
0,Evaluation and Performance Measurement Analyst (12-18 Month...,Canadian Centre on Substance Use and Addiction,None,https://ca.indeed.com/viewjob/company/Canadian-Centre-on-Substance-Use-and-Addiction/jobs/Evaluation-Performance-Measurement-Analyst-0287aa9ca6eb6881?fccid=e0293ce6345ae05c&vjs=3,[],"Ottawa, ON",99,none
1,Production and Inventory Analyst,Natural MedCo.,17.0,https://ca.indeed.com/viewjob/company/Natural-MedCo./jobs/Production-Inventory-Analyst-2cb4f60e25c9063e?fccid=65d0b1aecfdbb7cb&vjs=3,[],"Strathroy, ON",99,none
2,Big Data and AI Analyst,Myant,None,https://ca.indeed.com/viewjob?jk=ebba39369abfc851&fccid=5d784228b1eee537&vjs=3,"['data', 'technology', 'technologies', 'experience', 'platform', 'platforms', 'learning', 'clothing', 'develop', 'development', 'developing', 'science']","Toronto, ON",99,none
3,Data Analyst - Video Sharing Platform BI,MindGeek Careers,None,https://ca.indeed.com/viewjob?jk=269b5188bb0d3602&fccid=6f250882b448d8bc&vjs=3,"['data', 'analyt', 'analytics', 'analytical', 'problem', 'problems', 'statist', 'statistics', 'report', 'technical', 'experience', 'impact', 'impacts', 'impactful']","Montréal, QC",2,none
4,MIS Analyst/Database Administrator (Job Req. #2021-001),Ross Video,None,https://ca.indeed.com/viewjob?jk=78c21f9d311d8361&fccid=9264019a303e05dd&vjs=3,"['experience', 'sql', 'database', 'required', 'erp', 'support', 'results', 'teams', 'team']","Ottawa, ON",1,bachelors degree
5,Business Analyst,SMSS,None,https://ca.indeed.com/viewjob/company/SMSS/jobs/Business-Analyst-883336bcbfde5920?fccid=bb5c9735e09ba38b&vjs=3,[],"Toronto, ON",99,none
6,HR Data Analyst,Behavox,None,https://ca.indeed.com/viewjob?jk=0472728d343ba0b8&fccid=131bed7b726f4d12&vjs=3,"['data', 'reporting', 'reports', 'analytics report', 'analytical', 'analyt', 'businesses', 'business', 'work', 'experience working', 'alignment', 'aligned', 'requir', 'requirements', 'require', 'requires']","Montréal, QC",99,none
7,Business Analyst,TransForm Shared Service Organization,None,https://ca.indeed.com/viewjob/company/TransForm-Shared-Service-Organization/jobs/Business-Analyst-1ecad7a9c1f0743e?fccid=07177b2ac188bcc7&vjs=3,[],"Windsor, ON",99,none
8,New College Grad: BI developer - développeur BI,123Loadboard,None,https://ca.indeed.com/viewjob?jk=b3a23605515d9181&fccid=c198aef49e32d3e0&vjs=3,"['des', 'loadboard', 'aux', 'avec', 'les', 'etl', 'data', 'documentation']","Montréal, QC",99,
9,Business Analyst,Paradigm Consulting Group,None,https://ca.indeed.com/viewjob?jk=1b4608cb4abc16f3&fccid=abd5874d73395e17&vjs=3,"['business', 'test', 'experience', 'prepare', 'preparing process', 'processes', 'team', 'identify', 'identifying', 'developing', 'development']","Regina, SK",2,or degree
