,title,company,salary,link,description,location,Minimum Experience Required,Education Required
0,BI Analyst,Blackline Safety,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0CTyxZxFhY9HpJqEBQOSV58GInkevNw-0klBCJgo6k9Ai0YjfAx0RhhgRmHLCOWUVxSL2YBcVqxWEj5yv4yH6lq3kCcUQUI2BXyzhrByKNBgaSerIihs5z19ANiLHg8UoIpTz49cWri1z-06hIS057gcjJEc3h9vwOmW7GtckcIrPmjUoED21l7B5AJQsERUK2zagMTOLZBLTSa6Ti58SBfDa5ezISjuZvN81MieoGfI0HYTzoWX7bG3ck5G58O2nnPigGoPsdC2Gzls0q18CdUFj00-IsQgq5r8WuLF5SXhC6n4aNGX3HI52Fbpycc4fVIykE8vinL3JjgjLNxvzkJbSUH-Dv2aYLyd-1umv4IxrMnQRIzkepoENMbUZV8sY4EDFxmgkBws0WUtOprkuAiVIHbplLRSvwY2H9Mo0oxbrN-UcwOMGM8&p=0&fvj=1&vjs=3,[],"Calgary, AB",99,none
1,,Aerotek,35.0,https://ca.indeed.com/viewjob/cmp/Aerotek,[],"Toronto, ON",99,none
2,Data Analyst,Special Risk Insurance Managers Ltd.,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0DFP-NCcN4t-J57IddP5uA93URMmATkfJaXahUIB2VrJbb6FMxsCHmxjZ3aJ7nqov0E-wE19Zfvlafpxhr8uVTByO9BgnRf5XOGvGPuaOKEghUtxAsddQ8ie648eBl8UQ_oq6PidNHr9GvOavFsL6lyjYs8jT9LCxf9LxFFYgQ4HVL3n6tEiEERgHnsNWJDXAzJHflmj1p07DYei4EIl3d4bd-RAlrgOMeGCJm31j1sSLxTvojgvd_rFjC8-hPe9RLgcdeWxTsjHKTJeR4IHZ1KYYxpAzb3Ty6LmGeSuGmvnh-vCdiePNda82U-QYsOsG4nu60YWNmU_KladiEzAF2XhaEGuc15UpkhYBbQ63gJJmVxUOnFCswejcEmZTna05EUNPGIgj1vrBbXq6nUjtGpmMbPEHFLN4_MMobHwkvHJG5qsgoPd4bv&p=2&fvj=1&vjs=3,[],"Langley, BC",99,none
3,Junior Data Analyst - LOCAL | MTL,BDP CALL CENTER,15.0,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BQKPvhDnx33ldORvSqd5V-4tnLTo1TW2cI89Pcobyn0JqK2wSGrQSkSAizp4DrAIsl0DFHMtF_ovSmi0aoBlVcVAQzWQN2vCGu0WlEroIlIwWz9DVYMj8q1wE2fT1X4X7R9dvlFEoQ3I2ZTl2cUXPiJiQzPBu1Qs9v5YksPMXTskuDVaW-sVCUhwOgxRqSYO1QOxCTFWJP2USHDQdjqFQw5afRL7fXgCWZpIbDyR3zoP105m0jVRoKqwzCJYYhEWQIGDFSzdgLDf19YOK0G0aANtdamhdu3pnGvclypac-8g4RjkFdcgxDKcCpQhZvDTxtQ9xtMqxCU_W6y9DIZk40xB1_jDkSKfSMnNLyaoj5JQ0J4qCGSUI_5L6497jkFZmZzGJZxxpU_UKAV8suMSf3uw1ShniA1ACsuFCiTCmIM4GlNBTzxzZUsOrmXA-ue-DlVIGA_EWGDA==&p=3&fvj=1&vjs=3,[],"Vaudreuil-Dorion, QC",99,none
4,CRM Data Analyst,7-Eleven Canada,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0CmqMxku_6TGquz-1UnCZgjUT7vNLiL3cE06d8fjKwFngJ7etlx-2fWOeKwDvsHt7NaYLBlwJPRVIwlz6HNpKgFtZcYbZhJv4X6h9bVD8HkWeal9p26bgBTIZNvwHrhcc243cTtHYLYvmfbj9cJ1cpVUpZxNMcWWirIXrSKZt3K6XL5RlzeR446IBBl0Omp68klLqGi3hQkQg2bVesVn23OoVdn8N5G8ReYEy8mgJVX3ON7CRW7Bgwumc-sGGb487YobQCKWUJLr4hSVg31SxcpJGEE-WkzXpc81TVYuH37jNlj4UCm1PrMwJyhK3EeNOoH_y6iOavVCfXUwerDiYdDW4kl46RyEJRgNL1XTuCHGjSqVrTpHXryPlFhRCOPo4IkCR1TrMICK0e7cT1aJdEQFqe1k2c2xgLgItZUoM26eNI9dORCezvU5QUj70dYgSQ=&p=4&fvj=1&vjs=3,[],"Surrey, BC",99,none
5,"Analyste de données, prévision de ventes / Sales Forecast Da...",Balcan Plastics Inc,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0Bd3lmFI3ifkvZh4l5g3WfqzBe30hfLKCEoLuBAoTdsBIzNkMmOsaysPMnuoHnQazepVGLgvgjcrAW_WGLnMicMjEAyYKmvvWg0_aQxDoOfxMAbPK5hJRJ9_UEgkgxpSOSUL94X1AB7WUpJJA_P0hlTK8fTYSTMjhq1Ism-YDOfm_60gMggxE7EcblMWn8VE79D-_rTC0tQc4dYGyJ6wZFYqidGK3ljiJFA5YlUz-DRoYiVgmcp3pj1eDpAQkjc1zDH8kMpKmPPQM6W3U8KBsV-4s498nOHWqgD4tg0yYYUOvFRay95b6Ie-yuIL4g94-eHrBcM0uj7Wm1QzsnezVFnpvNgKdlJgjglc4hSjwrTzwl7O0rctHTN7u7TuYxHrGpejNrjyNeTkmVimZ4Vo2S3rMVoEHTEtzkGB425LSPYjINyBzfe2vYEmVY8Kr-WLFglgPj37w6Ak8t7TBHkhM8PhjN1UNG86h-s3BeYv_CMY5xopAUEC5Bg9tK4AtbKCXinzR9WhevVhKklZ5GBlv3j&p=5&fvj=1&vjs=3,[],"Montréal, QC",99,none
6,Pipeline Inline-Inspection Data Analyst (ILI Level 2-3),Onstream Pipeline Inspection Services Inc.,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0Al12rqrW29V64qc398YM68Qu-A00wCJMZ3ORXXc0zF90xDaRfpTl0MgTZoupZz1qXHqrjJocJ-UW_c5ISYSZ-auEsfKf7Zsb0zGs3f2MeRzpFX3yoswP02Bnge7kZFqdwyWRaTjnA-JpHP2znQ6KbuEKdriZlzAMjeoaAcxbIRI_ayPPnHOe4m-9T87Ze-j4GBkDr9MU5P0IVh1KSOqO6K9zK_j_koVps0EePp8DZoesMFHGPBfOrdzrXgUBxbk3-RJ1ByQB-vooF_p4wpJEwMaOufGWX-A0wiuiNtc0sLsB0cmrMs1qzMrpUYvGYzpZqUINmXFQFuF0cMkTkCAGDkuaNf4gl6hA4l2rzPXX3844brB36MlUQ_LhkeuSMmmY-mGHhnm2Dqh-3Xdu0KiNE6SPRF-MUdl6MWEVQiZHMYiQETu0Ixiw39UQvV60uw7SGz308QCeGz3mfFbF_kWr6MlUhm6NGciJgB_NkNKtm4bw==&p=6&fvj=1&vjs=3,[],"Calgary, AB",99,none
7,HRIS Analyst,Mark Anthony Group Inc. - Canada,None,https://ca.indeed.com/viewjob?jk=a37bd204b7f87fbf&fccid=189a30ed6c5d2e57&vjs=3,"['processes', 'process', 'report', 'reporting', 'reports', 'project', 'projects', 'management', 'manag', 'manage', 'business', 'beverage', 'companies', 'company', 'data']","Vancouver, BC",2,none
8,systems security analyst,GLOBAL ERP SOLUTIONS,33.65,https://ca.indeed.com/viewjob?jk=768b00798d1e6b54&fccid=340328c0fe70c2af&vjs=3,"['softwar', 'software', 'secur', 'security', 'development', 'develop', 'work', 'systems', 'travel', 'policy', 'policies', 'transportation', 'transport']","Mississauga, ON",99,none
9,Business Intelligence Analyst,BioSyent,None,https://ca.indeed.com/viewjob?jk=c7cf23aea8bfc06f&fccid=74e811e9b8baa8c6&vjs=3,"['new', 'experience', 'experi', 'excellent', 'excel', 'work', 'working', 'management', 'manag', 'manage', 'team', 'teams', 'data', 'business']","Mississauga, ON",99,bachelors degree
