,title,company,salary,link,description,location,Minimum Experience Required,Education Required
0,Data Analyst - Immunology,Caprion,None,https://ca.indeed.com/viewjob?jk=52378f15460ca9d2&fccid=943271990b714a32&vjs=3,"['excel', 'good communication', 'experience data', 'strong', 'asset', 'word']","Montréal, QC",2,none
1,Business Analyst - Radeon Product Team 81600,"Advanced Micro Devices, Inc.",None,https://ca.indeed.com/viewjob?jk=ec434e4c53f7ac13&fccid=b45c4b5a9c9a7448&vjs=3,"['related', 'experi', 'experience', 'business', 'structur', 'excellent', 'excel', 'written', 'level', 'partners']","Markham, ON",5,bachelors degree
2,Sales Operations Analyst ( Data analytics and Reporting),Blackline Safety,None,https://ca.indeed.com/viewjob/company/Blackline-Safety/jobs/Sales-Operation-Analyst-2e57b2638b088cef?fccid=049f9c5c8ada1cec&vjs=3,[],"Calgary, AB",99,none
3,Spécialiste en Analyse des données / Data Analyst,Bethesda Game Studios,None,https://ca.indeed.com/viewjob?jk=80d4542b9c38b59a&fccid=bd0013c41b0fe15a&vjs=3,"['statistical', 'statistics', 'experience', 'des', 'game', 'sql', 'avec', 'tableau', 'data']","Montréal, QC",2,bs degree
4,Business System Analyst,Solvezit,62.5,https://ca.indeed.com/viewjob?jk=6da839419a04d98a&fccid=b915a93c9fd22a51&vjs=3,"['sql', 'database skills', 'code', 'systems', 'experience', 'technical', 'communication']","Toronto, ON",7,none
5,Research and Planning Analyst,Queen's University,None,https://ca.indeed.com/viewjob?jk=6675b3435b53ea03&fccid=a499083ea4884469&vjs=3,"['experience', 'research', 'program', 'skills', 'skill', 'projects', 'project', 'analytics', 'analytical', 'statistical programming', 'excel', 'excellent', 'statistics']","Kingston, ON",3,undergraduate degree
6,"Advisor, Business Intelligence Data Acquisition and Analysis",Desjardins,None,https://ca.indeed.com/viewjob?jk=aa0391e5cf4f82a5&fccid=d1e5df65baa8857f&vjs=3,"['fields', 'field', 'environ', 'standards', 'skills', 'recommend', 'recommendations', 'plans', 'information', 'business']","Montréal, QC",4,masters degree
7,CEG Sales Analyst,Yamaha Motor Canada,None,https://ca.indeed.com/viewjob?jk=7e143171c7672c21&fccid=cbda9e3eac3bb996&vjs=3,"['sales', 'reporting', 'reports', 'report', 'programs', 'program', 'annual monthly', 'tracking', 'track', 'experience', 'support']","Toronto, ON",99,
8,Project Administrator/Data Analyst,Demant,None,https://ca.indeed.com/viewjob?jk=428eaefa27e61e2a&fccid=56c615419521088b&vjs=3,"['excellent', 'excel', 'skills', 'aptitude', 'project management', 'experience', 'post']","North York, ON",3,secondary degree
9,Business Analyst,Compugen Finance Inc.,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0Brs-dvGEChw479fcOrgRAcMVJWOpeso1CKPLJmQmzS6WtlojKVHTcthagRXN_U_4bxpQaT8bctjvEpRgbE374mUaWuc79frSbDtPBrki661UaqVfAdWFf_C1VPoS_FyIBk0C0oKE41AsX8WWLsdSc8Ao-YcJZdMLa2zDmbrh8jlieBb2CE14I79teMVtq-gxp4DSojhYK_5dpE61A7Uu9NAxiGt51lBwlO_VY7jM2GPG6Ed-WvpsvLw_4Q6EXtrQfdLJOkO94lrNmbnv-8wAC01qtmgIbDaYmzeRPdpJN7fHlYXaQi68eAkBkFDur0CAz5m0vjfEAJ67OR1G1ScrP-dEsT3tp5VNA4GTGFtDohKXrrmHthBpGV3yqOlGU0_vy8ykD153hWZSVQgxDyzRSQ3HIh73tdrMl6JupVgiYJba7V415pCAnt&p=9&fvj=1&vjs=3,[],"Richmond Hill, ON",99,none
10,Jr Business Analyst,Quad Infotech,20.17,https://ca.indeed.com/viewjob/company/Quad-Infotech/jobs/Junior-Business-Analyst-125aad2f4c73275d?fccid=f84e57c38d2fbdb0&vjs=3,[],"Toronto, ON",99,none
11,"Project Analyst, Customer Success",Clir,None,https://ca.indeed.com/viewjob/company/CLIR/jobs/Project-Analyst-32ced520a179a3e0?fccid=9664eeac00c0141f&vjs=3,[],"Vancouver, BC",99,none
