,title,company,salary,link,description,location,Minimum Experience Required,Education Required
0,,Procom,None,https://ca.indeed.com/viewjob/cmp/Procom,[],"Toronto, ON",99,none
1,Intermediate Business Systems Analyst,Affinity Staffing,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0D02uQImAu9w-cOcpVzXMSPKLiiLlb0VW9-sFhpR_bbrbX9f7XyLyoNuic6UCXuqD1PmuzxnIYnAhqdFhPE8-1G3UJLvKqeYZiFMKXgSg9D1Li6kYMqTkEitcRdErsRPAYUGIRdH5hn2N0cOPpDfZ4_2daomnfo2j7od0fMAuvgcMEjWrH7aXkHu2nLTvyqsE31QeGUHNP2udYSsGwDDyziiKBFtLH8beP8ouxsDsQoDvKXVCQjPRGyV_8fJZRUwUo6uZHq11hYKnQNrJ49kgh7_9Mqie4NctMpF5Ro2sYj1iLHgf_2p-sE86Kn8IC6MrOXcpBqR_IggT6NQz0q4K2SYxgV7KgBXKbn9NZJFFcGdWJpIoJyrWL3G_LqtUglfRu00MJ7xlyCQV57YjK1OkPHdQa00r2BAWzrZa8lXQMyhO1_FMNK3yCZ3pYgCpaYOrBeNuVUuBrjBvfkSFqlMSGr__IXQ7DSMax8y0xz_QFukq6GL4sDMo89g5d1Teyih8G9zMRkAO1eYTirYg9SjZvjel4rsbjmMQJ9Prfxdt7rfx1ejIQ_zrKS&p=1&fvj=0&vjs=3,[],"Victoria, BC",99,none
2,Business Analyst - Emergency Health Services,Affinity Staffing,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0D02uQImAu9w-cOcpVzXMSPKLiiLlb0VW9-sFhpR_bbrbX9f7XyLyoNuic6UCXuqD1j9NTE4mmUESdw86-EqrGjVI8BNxtbZ8n8lqasYYyqks7rKLmMbpBINst2nKpSHfR9Yy-PBA-CtgnY9PhSMtFA_IKEZQuR1GQpqvFsN0UX5QYvlYdagM8zMV1vlbgr14NKKJsWCJRbhXWRWhtQPoQuMXUx7-jMsMLSpcod6lWcWUgu2odL4IkUkvDQ1pCL9Gmq7kFPmg0NFIL1mXgFLHK5k4lXlNE1uN9IfsHkRlFK8sggJY6tWLFdzJe2IT8iOx4oZHodpywTjzIHAA2iv97gQt7lxczuMUMxm2A0mvV_ggUif5GTmW3aPSolJHBAbXCmpnno-ORAyql6FmOrdLh7dDZK08e4BFbvbVI-_m6I3AQ6WBNUlnmUMxweRp3Bn8J05V5w9zvvCDOJd4UHaRscd40dYtojQ58GsV9iLH2agT3S9UmajDzNGy4CGfcC_WsNiTH_-aJ5t8OrpBMhKPMEtKgnHbeTG2qTPSlXbrmnHT8_t_0vi6ho&p=2&fvj=0&vjs=3,[],"Toronto, ON",99,none
3,Business Intelligence Developer - Microstrategy - 299272,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-gEaU0IKNimeyeYMQ-T30yV9IdU6iEojOtHEz3eMKFS9uGNBbEKxS5RvO-1jBbLqWA3hv3yleNp_ddr_yUIc26vnlJY41WsDhfpBga-mr3aS7UJfsu-57zGtY5oYefaSexh4PXkIqvJuyYJ2chTjeSMY1d0AZQVqVnn-pKc--8h8fuQrIUMDmV0CMD2FcDoLVNG1wuTeoidd1fOXJ4Ki0o9wiOwhjurYjHataGiEemQ97ZOAPcpVHoWTQw_l5A83svIve4xhn9DNfjXPwMP3QyMHm60adL2y51-g2VwezqxNvLIET1Fs30vPJcGafkCOD-SRWBR5YTssscFzRNdF9kt7S-xg7SrDCxyJfiCqdW-XurJNn_wZGoaO6cD2WjWZP-7GXvhGGMhtm2FFd3-B9J7XKdxNsPPVMzQrLPcy5cPny_sd1VqSegsC3MwlIg0986HiIj_-EHaaCI2bV2XoVqSNeHCtR4v940709O14iFGa9fxgLd5IJ4rUCjf5aqQ75JjTgTXTMiAUibz2p9ixyf_NhHfRV5U-rt610laDutr6uvq31VWRVWNO5m8OSqqjwA==&p=3&fvj=0&vjs=3,[],"Toronto, ON",99,none
4,Lead Business Analyst - 299191,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-sVgEAMl2VRgb3OxKP2a3canIHIUEqjD9jKasGdNqc72kGBEFGyLB1dT8zALxaL8XbPN4zyqBmeXU--k_XhYsL-khgiomiwP_x1V559ijthyHYOBGkYMRfaIVc7POCDdMev3-qDzak7D8vO8iQ5KW-9nOEEC2NM5r2cs86G-MNY6H6ufsgqKW2urM6SH12SCtbyT_1UrMS1Mk321YN6gkiYtF9lhJJJ57-tBHZ-if6fiOFU5ZZVI_sURwF_gakj6TZ3d6iUZ2vK_fl5RwSbi0SYrQuqG3MCadQ8ltgOQa6x-Da9iQbdd-N98ZKHp_o5dayC3np7SL1kM5DvQG18XYzdPY8BGRAm0oYd4VQWm2ExdS2wVUovBjgaN9JcNoH5NrdRC4q8m0Jr0LCSv3nDKR0UP58UT83ubFgYRNycg1JIDUoXxZlzgxKd3zB3oiVeCDSzMiU5Hp4RYFUljMWH_dXyKYEp4-F4cAxZeEPcDzBYPGUmu8_yDW7r3bXjJ_ZW9p3UlrArw9U0EAAWDKNMORfS8RS135iwdyTRqP2EyjywIj7uzBhfIryU=&p=4&fvj=0&vjs=3,[],"Burnaby, BC",99,none
5,Business Analyst - Digital Health,Affinity Staffing,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0D02uQImAu9w-cOcpVzXMSPKLiiLlb0VW9-sFhpR_bbrbX9f7XyLyoNuic6UCXuqD0bJFzpES1m6P51qW1KkCEH_0nuzTFLsL9sFKwlRQ4lcJE7ikEs0jDW-iJIv3h7k8BmAY3dMs5aw18U9lFCxJrKKUbeOBJQiL8OBGfYYUcRRbBeOPADttdfGWh12T_eOxhdrwhNyDavUAKDdF4RdDPZMHqsY-OP4hnotTJPZlTOPxS-VrRfNJiXAP0bEVrKBDuAICb9p03DlXZJnmsnP3ScVBT2YKK9LUCG2utYEey-KVql44O9VxZIv4BSPaG8tf8mxRg2Vxn8GwwuYR_QwX3_B0AWPjFswUnjd9dvtkTLPUHseVnx8kwphl9Kg1et-pBzt6lN-fVwZ-ae3NfMieaNbc6v4RgyXfJaaQdPF4_nwyq5azwEyQUaVRrfez2UXpDWbYVNyUoqoIeeFXvyY1umkK2BtHrWKYmPqkEiggyZ4G1HiYGbnTMr8_B4FXMzwVG-yuf3f0D_XzFo5oCtQbYUS-EIqXUPr3lPRyz5mkFBSg==&p=5&fvj=0&vjs=3,[],"Toronto, ON",99,none
6,Business Intelligence Engineer,Robert Half,43.27,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0CkZrmoNIfNnv5K6heJNTgcHXgr0H7cYcF0-Q8gfPuoOdPpnl151udErR8IWC9FaT3zedk7Ay7jKWDzEO1OFBy-pzC0dGWZt_5kLK9PA4EyUqTdupu3luZk3ySPIVXUJGY4yrR9Dz1FW0r4JtEh4NijPhTfpxaiDYqHLu6ygrhhAs2ewto5d2JOoojb1o4Ec2Nf3KlNA7_YgWKvDk817fIaz5_hXcj0JdYcu77nTM8xl4RlCCOjJeIXNMcI1AyntDlvxkjNGsZC6mGpO4ODOpI-qCJKnA0EtoFDoRmihg4ZgdpKCRjFAfgnx09PwTw7xvFGS5PXXzcZqLtswXFLYVpSfBaliwQ18oWEHt_A5SEeRHVEcJy7N4YfCNRx5-mJwJfcWLI9RntjSKZeTBmYVhNW2i97CHDQitJgAMS_BXfgxsAjFmEGZFU2NCpYJNouEBglkkSsjYGkD-9VUc-UL5bqmRYp8yDRmuL5BiNSc36RI1M9je76xw63aOFWIsSSNAvuPZpPXd2-AQ==&p=6&fvj=0&vjs=3,[],"Calgary, AB",99,none
7,ERP Functional Analyst - 299057,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-nLMwXF3u7nt_W1_ybLH0QOuHdDqdapRtPXjEgxWNfd9RHxEHkLdIBitvdUakqZSEosWqKh6w-qn8wZcARyJOU_jotH3mdq2qVEpXAE-ywnB2lLi_qBJjrQLzYs3h4OTx7crbiQ2pZtA9hDQCPhAJ8EKDCavEu3CZBgS5c4ijRddmV0cHZgM637u4j0ftSXk5SaRpApRPJLBSNVRkDfNzGqHMwbv8XGFbuGjdCa051EM5pQGZKAa3IQMkeS7xHljmPcxXq0x8-q8toaFHLGJ5oGALjE1vlrwPnXBnk-f6U_kqwpRpCP43HEwQXnIRg0MMq6MWceKQuKTbWdvebaXHDQjafBgN95ESPWNvWL6Ab_qesnLIlj5JMZTbh39X9CqWY4x_c08vAMWdn3IsUd-qQm5zkPnsVxirCs3cDyDLjxh9Awp6yDUqw4vy9lBijsfKuYqNM9aZnaFLlIklR3wsGYIg-wdcNMZwGaFpS9FLJFC-wpfoRSM7e9jeaxhT-zeHqFMP1CjMjg81W0kbx3YoO4FsYuew9uL7HuvnUb3-fGOseykpBT78JU=&p=7&fvj=0&vjs=3,[],"Calgary, AB",99,none
8,"ETL (Informatica) Developer - Ministry of Education (BI, Ora...",Aventura Consultants,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0C-t2Gj-FE8SjWYhJ3TO0L-rHJEo5LJajKjwWt-is5QjrcIZ96GXYBdyik6LGqa7QQrVv-Loa2O2-Xjgf4U08hmFY2-rO5yJAPZF6yaLIa4OwIEICit-9mvKsS6RxOAk5U01LzUCaZDjZ5qfN9fOE3lBQd2jtcbzY1DztHuwfD9ADevH-m_ZrwjszyHTIRdWy2ZAT_V7ZzDRJh-WadPJNbMX1PBhEyBHVR_DjAszm1Dx7skFO8lU0vtcI3awNt4pINnEVzUzbXArXb-_md1x4NSG3sLz7NUbO6JPIoxMxNQGZR0ZDmLc65Ot0TSHS66Jgi4UT8XAreVKinqjMkHM92lvb3PpeJno9bGbE6JVxYTocJkPK91UahuqhSOdAcAcA-7ewTZjyOLBDxLkvyugsNvDOppFAjRk5ZXSbWgIBBsQnKb6jgRsza34yERRoD0iGwXFDatQF4_nQ==&p=8&fvj=1&vjs=3,[],"Toronto, ON",99,none
9,Bilingual Capital Markets Business Analyst - 299669,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-nLMwXF3u7nt_W1_ybLH0QND5jE9HQrxORhol5kKdS39mVpRyLwBo-64aM_JbJrsCDiQ_ajK3bdjW0eXNkaofVti3GV9sany3kKrN2KXTFDM2YcSB-rM7yXn3WS5xhSXT5qUoN1iydREeYw_VsfyYtcjiBeyCEDFjO51FtgjDXDRbXaMgdbc5oaf7UmzfynThCJZjrJX1QOgOo8JGbw8XC2Wc7CMNt7LLh9Qt3_2S_U6RkmUfRuhorsAX-Su4mDU6pW2FIUuyjAXBWd5TBJndN1uqUy3-YO-gjAO5lYcJszBBUElSbX3vFQS-nrHi66VU4f4i4rONizZZ-r8uyjcmJ6KE8pWSTIOBy0Cb64o0MtBUkPPRoK3B20EKoe4oX61nn7jTkh70h3w0hNG-3B9A37iV3dAdU2xsWM3m6zHwxWIBNSEHP0xr4gxy_pjsNTLkDfVycRfMib7Paku3UvzaxM85_NuBxlomwumqGDMDuwU0Vpag0gJfPNGycE72luzw8E8HODIob1pxrrH17mSX8n2E8QpxDJdstyfTPqJQBwxBGCF72M1uuxhsNYXNm5F9Q==&p=9&fvj=0&vjs=3,[],"Toronto, ON",99,none
