,title,company,salary,link,description,location,Minimum Experience Required,Education Required
0,BI Analyst,Blackline Safety,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0CTyxZxFhY9HpJqEBQOSV58GInkevNw-0klBCJgo6k9Ai0YjfAx0RhhgRmHLCOWUVxSL2YBcVqxWEj5yv4yH6lq3kCcUQUI2BXyzhrByKNBgaSerIihs5z19ANiLHg8UoIpTz49cWri1z-06hIS057gcjJEc3h9vwOmW7GtckcIrPmjUoED21l7B_rzV23TYyV9edV4DT6usAYN05dTVj9Dsuyj1VKhZz9D99IBRyk_VyUxWNMrYfcKX6c_MEdpq5OZFyByX9fzbPKF_k29PS3jLVUKzngJOycDN6qEQHxzZeuXNdAInEQpSvFHHN6wzGJ5kTgnz-XTfPX11-66sxEGQRvtKcnKqRGkokmldj9bX3aGsBw5qsK0WuQWgjwJXs7HJxYGOxBqmW0bOh7YtHSQP1xmvaE8dPbZK3r50SIcen2NYtMMrXQl&p=0&fvj=1&vjs=3,[],"Calgary, AB",99,none
1,,Bank of Canada,None,https://ca.indeed.com/viewjob/cmp/Bank-of-Canada,[],"Ottawa, ON",99,none
2,Marketing Data Analyst,Vigorate Digital Solutions,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0AjN2sC2KrypuDIQuftVetFzm11Su4DVWRTDngXS6oLJNC9C3PxVs4lwYTzMVzDvSt7iY5-0kwFwTdeKTOCRZI25q4BYA9at1_tAKxRacQ_nuyaO0tkuMcfpSjTnPcivrN_-pC8tpcyDmppdADnyllx7MGrRrBOX7eItv6_8YNJpkx-aWx0IUbkeA5QPgObxarCcS5h5anAAR_k6_yis5NV2EGvzqj3RAF5dfvuXQnwSuKY1WWThwxVnOZrG3Y1hcA7KgYRtO994LWBSMc8ckvE1xVplUNskb5v7hXirDTOEu9Dam0MLPepJ_PtxBQmFScPBFwVvu8wOpMs-ZSGQubOqFP-lWLLEJ10_sJukre9Q35QtEz0wHAXwuxVcWyb567EBqgdY7cNUk45hDg8qfGbWw3SQCR-esPKVuiji_zisTnMs0QQMYjNRuBPKkSzksY=&p=2&fvj=1&vjs=3,[],"Toronto, ON",99,none
3,Junior Data Analyst - LOCAL | MTL,BDP CALL CENTER,15.0,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BQKPvhDnx33ldORvSqd5V-4tnLTo1TW2cI89Pcobyn0JqK2wSGrQSkSAizp4DrAIsl0DFHMtF_ovSmi0aoBlVcVAQzWQN2vCGu0WlEroIlIwWz9DVYMj8q1wE2fT1X4X7R9dvlFEoQ3I2ZTl2cUXPiJiQzPBu1Qs9v5YksPMXTsq_bpwAgQlBGae6PnGSJfniyi9uLaKnQECprgkgvW6pjfEbdWFt3F2nq4BOqfdbSxIlYQmsqdHGilnVXPzB-f01Rg5rEh6QkFb-1hWALRYMvzeMMyLxWGCGYQsf4-wA6A7jI57t8jHRXlie0aP4WoFgSIIGmCnT8LlSkCUr6duNe-fJ832toH3WFKENNmtxqQPcCMd5LBlOlyTYEgcvwJMESMCCohKHGHqzT3HHM23Krx8gSxx4ydIyNS-vmtIKQDh5mjrzeMSWcHdkU-WL-uv5x39BVkuM-sg==&p=3&fvj=1&vjs=3,[],"Vaudreuil-Dorion, QC",99,none
4,Power BI Developer (Must be University Student in BC),DentalAdvisors,99,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BnEHtzQIBYXg42Ks7QXFSWoNoZ9WZBJJie5GLyjSu2SfFAzsjneKzp53HERW2vbeK-uyPZ_6oATqshMbkB_EZjszQwP4Uaz63fNLbZMKXm2ZyM5UOQsU8E4Yuej9FYFsZdiNoML4tcDUVMDD8UnyN8lr-lFGVfEqNa2R9hNqHBAna9-ujz_WSwD_H7yqwL_PVS3r7uUiROOGd6ZyDrVlQv2vSTxGfh90Y0KLwUqRxyt7EaF3Dch2WYO5VUEfYY1MOBc2Foeh_7SXU1YInVk3lPRn87j901kmgFFBbHWGM0XJN6iPTx4Q14m7kllSikzwSIJJA00Bd1Mp0AZ5VqF3_TycQW2sfgddVLMp-xpw9AJwgJLAgJFjMBmosSDRnA8wOphIrnVTwpZ5GBFAyQwXpLmalANlXwe2tfTQRXPTtIT77jEBGkkw1C5ldD2rYufYzFskay8tBcgm1dYZ8X514oh1v_8HS_luuqvDknx4x1yg==&p=4&fvj=1&vjs=3,[],"Burnaby, BC",99,none
5,Data Analyst,Special Risk Insurance Managers Ltd.,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0DFP-NCcN4t-J57IddP5uA93URMmATkfJaXahUIB2VrJbb6FMxsCHmxjZ3aJ7nqov0E-wE19Zfvlafpxhr8uVTByO9BgnRf5XOGvGPuaOKEghUtxAsddQ8ie648eBl8UQ_oq6PidNHr9GvOavFsL6lyjYs8jT9LCxf9LxFFYgQ4HWpGFSrSuwSv-Qa_9fs1EW6flQ9glO27bRVOvJ83BJoBIsgscSvOimQ7JWcmnB_ikcCFmf2drFUOljN8DXmhnSoaWJazUOley3pA0vt8MUiqsM2JjRAbt8aIs_-R5hxDmErNlHEc0S8Hm4y-ReUCcfTfEqxMayBnm5Wlh819j-h0co7n2nHn7oR95mBEEurbe1ujZzHUV-3A4GtnrqobD3QpkeqSM-Miu77FBiu72zfDfSbTJW90d3UkQDYON46aaBIOmGmUi4F7&p=5&fvj=1&vjs=3,[],"Langley, BC",99,none
6,Pipeline Inline-Inspection Data Analyst (ILI Level 2-3),Onstream Pipeline Inspection Services Inc.,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0Al12rqrW29V64qc398YM68Qu-A00wCJMZ3ORXXc0zF90xDaRfpTl0MgTZoupZz1qXHqrjJocJ-UW_c5ISYSZ-auEsfKf7Zsb0zGs3f2MeRzpFX3yoswP02Bnge7kZFqdwyWRaTjnA-JpHP2znQ6KbuEKdriZlzAMjeoaAcxbIRI_ayPPnHOe4mWNdwAyxoXOAGcyroo6lKODij-ky1SsmrDL3YuRFpQqBuqI-YQGZq92NuvjOwI6nTdpULcyp1kRE3BQo70OLrC-ebC9t3yQNT8SaAASRAgGlQJuPBGmdINvlCn3qBoHVHqbhlwa5kqn5hnKt-IgdogXL2FN-Ebn__-hkS9NcNKv6kmU65BUz6Yo98fucI4M37_58WGqr3LZvZ_jaXVyKWAFssp1jIgQBmWK-qV93P58h9uwl_efitofq8z150UnRfGNa0m2QqW8ZvQnvNq3xNDeQxmW1CmgwKQOaX2C361gSzD9M1NcmnzQ==&p=6&fvj=1&vjs=3,[],"Calgary, AB",99,none
7,"Bilingual Call Center, Data Analyst",CDLSI,None,https://ca.indeed.com/viewjob?jk=b424de2b4059bd84&fccid=f9b4e8610d1b8a7e&vjs=3,"['customer', 'leasing', 'lease services', 'data', 'cdlsi', 'service', 'monitors', 'monitoring', 'excellent', 'excel', 'skil']","Toronto, ON",99,none
8,Programmer/Developer Lead - Sr Data Analyst - Visualization,Capgemini,None,https://ca.indeed.com/viewjob?jk=0bb90e2ba835f878&fccid=105ecfd0283f415f&vjs=3,"['data', 'programming', 'programs', 'program', 'software', 'requir', 'required', 'requirements', 'programmers requirement', 'programmer', 'business', 'write', 'development']","Toronto, ON",2,none
9,"Senior Business Analyst (Dynamics 365) - Toronto, Canada",New Signature,None,https://ca.indeed.com/viewjob?jk=99c7051025b649cb&fccid=f537209340bad710&vjs=3,"['experience', 'experiences', 'business', 'employment', 'employer', 'employers', 'security', 'new', 'human', 'innov', 'innovation', 'innovative', 'innovate', 'signature', 'signatur']","Toronto, ON",5,high degree
10,"Analyst - Business Valuations, Dispute Advisory and Transact...",Richter,None,https://ca.indeed.com/viewjob?jk=5ddfe8bdb74589cd&fccid=1c8f5b895008a5bb&vjs=3,"['work', 'working', 'financial', 'opportun', 'opportunities', 'opportunity', 'business', 'richter', 'including', 'include', 'team', 'advisory', 'advisori']","Toronto, ON",3,none
11,Apps Support Sr. Analyst.DEVELOPMENT,SS&C Technologies,None,https://ca.indeed.com/viewjob?jk=67b7d3adc8a3d8d9&fccid=7ab93833a090100a&vjs=3,"['testing', 'test plans', 'communications', 'communication', 'communicate', 'manage', 'management', 'manag', 'track', 'tracking', 'services', 'service', 'quality', 'process', 'processing', 'planning', 'plan']","Mississauga, ON",5,none
12,Business Analyst,Elecsoft,34.86,https://ca.indeed.com/viewjob/company/Elecsoft-Consulting/jobs/Business-Analyst-ac0342f24b3c9d88?fccid=68a619035961b63b&vjs=3,[],"Toronto, ON",99,none
13,Senior Business Analyst,IQ Hunt,None,https://ca.indeed.com/viewjob?jk=d1ed0a1996d9663a&fccid=1aed40d20a3c18d7&vjs=3,"['business', 'data', 'requirements', 'requirement', 'experi', 'experience', 'development', 'develop', 'developers', 'developing', 'solution', 'solutions', 'level', 'levels', 'models', 'model']","Toronto, ON",99,none
14,Business Analyst,Sryas Inc.,38.46,https://ca.indeed.com/viewjob/company/Sryas-Inc./jobs/Business-Analyst-c6b62aad25162005?fccid=38501cc9ea324bc0&vjs=3,[],"Mississauga, ON",99,none
15,"Senior Analyst, Counterparty Credit Risk Capital",BMO Financial Group,None,https://ca.indeed.com/viewjob?jk=fd78cbc42c0baccb&fccid=3a429036b3725efa&vjs=3,"['risk', 'management', 'managing', 'manag', 'manager', 'skill', 'skills', 'good', 'business', 'busi', 'businesses', 'including', 'implementation', 'implemented', 'implementing', 'capital']","Toronto, ON",1,masters degree
16,Business Analyst,Vancouver Coastal Health,None,https://ca.indeed.com/viewjob?jk=f59708d5c0fdb00e&fccid=3513825c36972737&vjs=3,"['data', 'business', 'strong', 'ability', 'abilities', 'related', 'relational', 'processes', 'process', 'reporting', 'report', 'reports', 'identifying', 'identifies', 'identify']","Vancouver, BC",1,masters degree
17,,Procom,None,https://ca.indeed.com/viewjob/cmp/Procom,[],"Toronto, ON",99,none
