,title,company,salary,link,description,location,Minimum Experience Required,Education Required
0,Data and Reporting Analyst,Nunavut Government,39.36,https://ca.indeed.com/viewjob?jk=05719d87a0059bf7&fccid=06c1bcfb8e80f3dc&vjs=3,"['health', 'iqaluit', 'data', 'employment', 'employe', 'governmental', 'priority', 'high', 'policies', 'policy']","Iqaluit, NU",1,undergraduate degree
1,Data Governance Analyst,Pacific Data Integrators,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0DEDfa1PO0zLIBODLMnX6a2PqO_t8_gtpudkWpTzY9J01xBMxC846fpuOFzi369hKd4A4sbOCU6mH4N2auqx25U97t0dmFhnL-PhT3jlElqJa2TTbqJATl4-HPiuw9jIUykICwkxT-JzeUXmMdLy8d3rfcsCS_NZCCQ0gb6bsdEyx4Wa1iznb0q2CpDwqZ_3d291amwCUZamMjYMCy1ZUHj8pbcbCPiS1rZ162j8gpznBCaPqqV3NLOsbAKAgyl9m5tKWIy6QjpzwCDxFKy4_wRsCwIKLqgd5PSWOy8FCVZ6CffGkM5ASes-NHu4U_KDmnKkXv3w6g0pWkF4FO8bGsiHFVzZNKz6OVYeT1IoS9TPVurpaNmAAfpip6fzoaxomFv5aFHJpIz2dDyfpH6uAvL2Q1MzcjGV-sCPhXwSQYBpHgfZvbr8oW6iazW59ROG5c=&p=1&fvj=1&vjs=3,[],"Toronto, ON",99,none
2,Group Data Analyst,GroupHEALTH Benefit Solutions,None,https://ca.indeed.com/viewjob?jk=e58d6f89cf5f08cc&fccid=51a517bd1ec66158&vjs=3,"['experience', 'benefit', 'benefits', 'reports', 'reporting', 'requirements', 'required', 'requir', 'understanding', 'understand', 'renewal report', 'claims', 'work', 'works', 'renew', 'renewals']","Surrey, BC",99,bachelors degree
3,,Aerotek,35.0,https://ca.indeed.com/viewjob/cmp/Aerotek,[],"Toronto, ON",99,none
4,Data Analyst,JoeyCo,21.63,https://ca.indeed.com/viewjob/company/JoeyCo/jobs/Data-Analyst-6069fba777c28a29?fccid=6f870eef526d194f&vjs=3,[],"Mississauga, ON",99,none
5,Senior Business Data Analyst,WeyMedia Inc.,28.85,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BmgyhhgzTPmlU2ltoOFrvmMnWna8IhpI58mrlYciiJsY1ntjgYFQfh8eVlOw_x3Mx8JiaVcfl0LXZ9dqmQa5zIyHp5AWF7e7GGefeAJzjZYqgX8NGajGQPAkdhSBVLzUPA9gu9QO2vfoGCemA-2J0VqLoXyB6mjIb7ri1kQS2mJmCZ5Q2NAdbKbPl8cySsZ0rIIdmASD-54JG25AuC9yamrrXybG2zLntsX-Fj2s8B5m6GTPr8zXqydx7yxYlT1n2FHmOhE4eZopfMvwON9jeFzur2U4rtlSI-fUfRzifXdLRHsfNzNxEPLV8eYeU45VPYr3JfXJUOxF60YuSDAvXBPU6N2UV8T0lJ-KBP2aYllIEBQWBD-8CJ03l_KBBuGKTd_0yNM4bsq2uDJyjGPBHHwHHULaVDfng_GPsUAKG8f-lpWY2E237LFBBp7LfPYefO6UUMASK-0Q==&p=5&fvj=1&vjs=3,[],New Brunswick,99,none
6,"Joint Venture Contracts Analyst, A&D",Harvest Operations Corp.,59.74,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0CzcDfZaLm5XbsrTuD658X8d1RVAgjVQJuOFs0HLcxXVQaN5EcE8lKyQ-r92G6X7xU41G6F8WgNgaxuhffK7FqlqSNxSuzdvDop5lW4dzDQfzn0_EeKxRT4r20Eve9ofV2oZB299vqvDgGfuwotIPvD7Au7myz0WzJSoNvGkp5-Oqcj5nJQ-ZbSvNCdUwmpuqLMrncyzATAGDVihga54z-u8ehCadr7v3diUVGBCAVoLy-JWgW1H5QoR6_cmoxcbWUIUWElji0UF6_tkBS9GIH-WzH4ArAA-sKdmPcQgCvtQOYFO3ZEQJN-ql9RnFObFAKiuQoItEqoG8s2269WyHqAwIcqR_8QQv2MC9I7GmV2LUCWtpg5tA7get8QhObAoBiwRSlpHd5pVutkKYftZSZ7Xq-74uvJMYg_G1P0NuDIQ2w3xXU9PyWZ7v1zqD0DM8umEBHUwQ5lJw==&p=6&fvj=1&vjs=3,[],"Calgary, AB",99,none
7,FO 18R - Business Data Analyst,BC Public Service,None,https://ca.indeed.com/viewjob?jk=b5cfd68de25520d9&fccid=65dd05622a756445&vjs=3,"['application', 'applications', 'applicants', 'business data', 'job', 'jobs', 'experience', 'information', 'requirements', 'required', 'related']","100 Mile House, BC",1,
8,Sr. Business Analyst - Data,McAfee,None,https://ca.indeed.com/viewjob?jk=da0fc3a540b1c778&fccid=800f11c47014effe&vjs=3,"['data', 'working', 'work', 'business', 'businesses', 'mcafee', 'products', 'product development', 'developing', 'developers', 'status', 'analytics', 'analytic', 'analyt']","Waterloo, ON",3,none
9,CRM Data Analyst,7-Eleven Canada,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0CmqMxku_6TGquz-1UnCZgjUT7vNLiL3cE06d8fjKwFngJ7etlx-2fWOeKwDvsHt7NaYLBlwJPRVIwlz6HNpKgFtZcYbZhJv4X6h9bVD8HkWeal9p26bgBTIZNvwHrhcc243cTtHYLYvmfbj9cJ1cpVUpZxNMcWWirIXrSKZt3K6ZdUxUrPeBC3Q4wy116Y3e_2GC7czvmrrvjyNxAHl7sqQCHleLuP0MqmySPIYpjgfouRqTD8iIPuxbIqGcv-OB1h9b-C2zalcFF86EgdoGDn4rsPHVmdQrhHKaRDkUWRfGlwcRVyeTkoLVIbN_0vrYL8nLVQijimG0tyj-cx3w26J75Gs4kddlu98tw_F62aO-BlXR3VhYizL2YRm2sCxX2CevrXinDuB-q7Tkpzoawr1PmAkAvNxDTqbwRkOvEJ3OHpSAMKOjX1ZUTc1f6bMxI=&p=9&fvj=1&vjs=3,[],"Surrey, BC",99,none
10,Content Researcher & Analyst,Upfeat Media Inc.,None,https://ca.indeed.com/viewjob?jk=342507b44891b778&fccid=606481fadb80b308&vjs=3,"['content', 'researcher', 'research', 'researching', 'online news', 'new', 'data', 'team', 'learning', 'learn', 'revenue', 'revenu']",Remote,99,none
11,Data Analyst,360insights,None,https://ca.indeed.com/viewjob?jk=105aef203ee89222&fccid=2d7c4fa213033676&vjs=3,"['business', 'data', 'insights', 'insightful', 'programs', 'program', 'building', 'build', 'experience', 'custom', 'customer', 'customers', 'lead', 'leading']","Moncton, NB",3,bachelors degree
12,Irrigation Data Analyst,Government of Alberta,33.9,https://ca.indeed.com/viewjob?jk=13a59e490ff74b5b&fccid=06eb55e7689c0bc2&vjs=3,"['manage', 'managing', 'irrigation', 'irrigated', 'water management', 'https', 'http', 'job', 'qualif', 'qualifications', 'assessed', 'assessment', 'alberta']","Lethbridge, AB",2,university degree
13,Analyst Data Integrity - 6 month contract,Sobeys,None,https://ca.indeed.com/viewjob?jk=b15d3bb40f078937&fccid=2b30af762655480b&vjs=3,"['data', 'office', 'offic', 'experiences', 'experience', 'experi', 'requirements', 'requir', 'preparing', 'prepare', 'job', 'related', 'family', 'families']","Calgary, AB",2,undergraduate degree
14,Data Analyst and Investigator,Shaw Communications,None,https://ca.indeed.com/viewjob?jk=e4b935e5d5cf2fae&fccid=0261b4753802fd26&vjs=3,"['data', 'information', 'business', 'developing', 'develop', 'development processes', 'process', 'experience', 'reporting', 'report', 'reports', 'consistency', 'consistently']",Canada,3,none
15,Sr. Business Analyst - Data,McAfee,None,https://ca.indeed.com/viewjob?jk=da0fc3a540b1c778&fccid=800f11c47014effe&vjs=3,"['data', 'working', 'work', 'business', 'businesses', 'mcafee', 'products', 'product development', 'developing', 'developers', 'status', 'analytics', 'analytic', 'analyt']","Waterloo, ON",3,none
16,Content Researcher & Analyst,Upfeat Media Inc.,None,https://ca.indeed.com/viewjob?jk=342507b44891b778&fccid=606481fadb80b308&vjs=3,"['content', 'researcher', 'research', 'researching', 'online news', 'new', 'data', 'team', 'learning', 'learn', 'revenue', 'revenu']",Remote,99,none
17,Data Analyst,360insights,None,https://ca.indeed.com/viewjob?jk=105aef203ee89222&fccid=2d7c4fa213033676&vjs=3,"['business', 'data', 'insights', 'insightful', 'programs', 'program', 'building', 'build', 'experience', 'custom', 'customer', 'customers', 'lead', 'leading']","Moncton, NB",3,bachelors degree
18,Irrigation Data Analyst,Government of Alberta,33.9,https://ca.indeed.com/viewjob?jk=13a59e490ff74b5b&fccid=06eb55e7689c0bc2&vjs=3,"['manage', 'managing', 'irrigation', 'irrigated', 'water management', 'https', 'http', 'job', 'qualif', 'qualifications', 'assessed', 'assessment', 'alberta']","Lethbridge, AB",2,university degree
19,Analyst Data Integrity - 6 month contract,Sobeys,None,https://ca.indeed.com/viewjob?jk=b15d3bb40f078937&fccid=2b30af762655480b&vjs=3,"['data', 'office', 'offic', 'experiences', 'experience', 'experi', 'requirements', 'requir', 'preparing', 'prepare', 'job', 'related', 'family', 'families']","Calgary, AB",2,undergraduate degree
20,Data Analyst and Investigator,Shaw Communications,None,https://ca.indeed.com/viewjob?jk=e4b935e5d5cf2fae&fccid=0261b4753802fd26&vjs=3,"['data', 'information', 'business', 'developing', 'develop', 'development processes', 'process', 'experience', 'reporting', 'report', 'reports', 'consistency', 'consistently']",Canada,3,none
21,,Rio Tinto,None,https://ca.indeed.com/viewjob/cmp/Rio-Tinto,[],"Yellowknife, NT",99,none
22,Business Analyst,Dymon Group of Companies,34.13,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0DsHHkWgQMXLB7TSMtgwZIXJoRTseb-CUZgmvdVQjH7lzXGDhGIY0w_BNPr84noBYFaYBBxyqgio38uRqm1iomKKIFVGqO4Ji0CScx6c5Lig_9WupeE0TRmugBcy-uFUWciLVhjD9oRIpZJYkomiQsEqRpT9AYDJvEutfg3OzPKu4x_s59-NG6wAJtjZUWNce_1YTNqr0BYbiathNe3ubrhUTgQPhRpxCHwCnYj4BFUeVHsVdIfT3mS0qCSQl4VegiIXCrCu5nFcutZYjYFU9ppYSZKw3HmckG_NvEhZjwrOJp3zmZF8BMTzjgGVjulwwH3m3CHyRe98xGY5JWPvl5ctFDApE7d7I8ybm_pSj1FD5QnC-Nf_n_-mG6KymIfDiS8AzR0AjDhIjNnNBXrSRFnqdKJxrbvCV5c3xjaPq_Yc5VaRxiGHSFXMzjf-ci1gJ-3YABiIdXwmA==&p=7&fvj=1&vjs=3,[],"Toronto, ON",99,none
23,Business Analyst,LabX Media Group,19.83,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0Bqk3P_iLzruiSuHAR4eGnO2yhnVXhuCMoxhteWRCaboVe7w-CsbE3d110vBFxGQoUGGWrLQXEQswRrxJqBpICB0qZLcaEjLg-33rm8TPGwcLhE7UHWFjOsczC6vvygA5mfNOsxymmOh7HNUNgihslRgsb9XlSMOB8y9hH9mP8DSij1K8mpqj96rrbk3bOxFhpVaHM4duy3gk-8lgcnNb7l-gODvKr6j1AqNTVC4luBGbmQxtFSHjBuc9DA-k4eX672pK37lKn8ksIZjcYUEnCrDYp6HUGGjMxqGQv0Bn52kDvugrmDFt_zAMyHmKzITk5loRp-4wG0PanPXx4W-od0Lb-M_0EcFNRwLwps10E3W268iMXX3LPadW1DEBuo82VEYQOyT2oStDv0kkwEHxbCCQLgIFBA3q9shwkgqi74c-HmQUx8ovRJ&p=8&fvj=1&vjs=3,[],"Midland, ON",99,none
24,"Senior Analyst, Data Insights - Property Claims",Aviva,None,https://ca.indeed.com/viewjob?jk=4d2a5694c8fd4690&fccid=354f4c12e3c6bd5a&vjs=3,"['data', 'reports', 'reporting', 'development', 'develop', 'processes', 'process', 'teams', 'insights team', 'applications', 'application', 'applicants', 'skil']","Markham, ON",99,none
25,STO 21R - Geospatial Analyst,BC Public Service,None,https://ca.indeed.com/viewjob?jk=c181d1c0ef2e48b1&fccid=65dd05622a756445&vjs=3,"['including', 'include', 'includes', 'experience', 'experi', 'related', 'relates', 'application', 'applications', 'applicants', 'job', 'jobs', 'information', 'resource', 'resources', 'spatial']","Surrey, BC",1,
26,ISL 27R - Data Warehouse Analyst,BC Public Service,36.7,https://ca.indeed.com/viewjob?jk=79524000aa117c7e&fccid=65dd05622a756445&vjs=3,"['applications', 'applicants', 'applicant', 'application', 'services', 'service', 'data', 'record', 'temporary', 'human', 'youth', 'case']","Burnaby, BC",99,none
27,Data Analyst,Paradigm Consulting Group,None,https://ca.indeed.com/viewjob?jk=badd1ceb510f77f0&fccid=abd5874d73395e17&vjs=3,"['data analytics', 'years', 'experience', 'report', 'reports', 'reporting', 'business', 'strong', 'databases', 'database', 'analytical']","Regina, SK",2,none
28,Data analyst,CGI,None,https://ca.indeed.com/viewjob?jk=007cae1dc5132ef9&fccid=d2841a5c0380b93d&vjs=3,"['requirements', 'requir', 'required', 'data management', 'business', 'cgi', 'manager', 'digital', 'opportunities', 'opportunity', 'development', 'develop']","Montréal, QC",99,none
29,Digital Marketing Data Analyst,WeyMedia Inc.,28.85,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BmgyhhgzTPmlU2ltoOFrvmMnWna8IhpI58mrlYciiJsZRIiO3OA2dA8aMRPRiflcEzzFPlgGSnHdlH7lUWKXOkdbhdMMLmL85y37Afr9aS5jS1IxiOWJfsDKeuD7gUUTv7tG_o22H8icDpM6iLGD8q5KRgxWcSN95uVmtkHczLrreI9DL8SHatf7jm8RQf9Y3SuVrEnzaxCeCakTBl6P1YB3yhBr9UhKGxXk9-9alduT11cy3Oej2BKrJikb9kTlar0ZNyLZakqfS3V7mTpu2wQXTobgv4xTH05jKLSh627XO7ruxxS0hR3ccvyVo43MoP6K9iNqUhH9YSOLlfsAq_HX4ee_uj2dTyfC45wQAy_S1qvJhSX11Nixf8qqw54s0enUsGVNn26LoZoCd7tkzMXd9ywGUw8AIx2Ku3qLMBIqglFUeWb9UeoEsbIHpAB-droY_fF-2eIg==&p=14&fvj=1&vjs=3,[],New Brunswick,99,none
30,Data Analyst / Analyste de données,Tecsys,None,https://ca.indeed.com/viewjob?jk=e108559061c5ef91&fccid=991785303e768c5d&vjs=3,"['des', 'data', 'les', 'operations', 'pour', 'donnees', 'services', 'service', 'servic', 'vous']","Westmount, QC",1,none
31,Analyste BI - BI Analyst,Bonduelle,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BM5caOusr2mVT84zIZSBPjWOABd-vdx-qcna32O-sXdjazOkjCv7_aPD-rW-hrJ8IjkcVfhtlZ99_qHBnmMIdNdKAJEKa72NUDP2mLJIvNNssmH_ITECzJQZO_aUej4uq5oBaoN_aQrD0pI69TXjsGCMAkK_fAkyTXNPkRPz3HcNKxOdvqTto_xjwxBf7pj5GutZUCjfS7c3hG9gLsA1drnT_Z8hRa0ChKWwk5ZZIIEP0QMXzJlUW8xegArYZBM1J8BoNDAVYscRfin7clXPs7MH25UFLVfui5GERSXjKndpibVq4GgePnX4x75oAST8p4Seu8l-0XfI-0nkQbFv16w0NZaBQrCU-kNPqN5yjWEX4iF-p8IwW7rxMoTK5CIMVkiqMjcGNHBvc9zJnLD1BpaWh9gjzBjwZ0oxoG782AVxM2qfab3E25JBxoWz8vEOzFJP1fILG6Bw==&p=1&fvj=1&vjs=3,[],"Saint-Césaire, QC",99,none
