,title,company,salary,link,description,location,Minimum Experience Required,Education Required
0,"ETL (Informatica) Developer - Ministry of Education (BI, Ora...",Aventura Consultants,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0C-t2Gj-FE8SjWYhJ3TO0L-rHJEo5LJajKjwWt-is5QjrcIZ96GXYBdyik6LGqa7QQrVv-Loa2O2-Xjgf4U08hmFY2-rO5yJAPZF6yaLIa4OwIEICit-9mvKsS6RxOAk5U01LzUCaZDjZ5qfN9fOE3lBQd2jtcbzY1DztHuwfD9ADevH-m_ZrwjqaMmk8KZJVOjwWBjQzfIRTQHK8HP4s57uo2M56WH2uWCXOhUmClq1snvGNJOTLWRen4SNq1Cam-TRYU5HutUMghZrL_XXxFnBlpNZP4_u90iBuBiEMptHFkLWUjNQCinLPlZsYsy6xByudPfL4Md1KX1ffYpfTEgQWz2sMhs_le-4RMylFBueta0i8-WZZPUb0nYsXCY3MEjGKt17WRl5IvHutSGRn-NpveZsaHtn5DURD94AGZ2yNKbN0fxxzhfK9kwI7_93Lh-M20sEI8KUA==&p=0&fvj=1&vjs=3,[],"Toronto, ON",99,none
1,Business Analyst - Business Intelligence & Analytics,Affinity Staffing,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0D02uQImAu9w-cOcpVzXMSPKLiiLlb0VW9-sFhpR_bbrbX9f7XyLyoNuic6UCXuqD2prgXAmxSFxoImG6J2mbq01hJUcpMeo0vGElXDgaPcXp14Eg1CghUYfSPpupP8eJLirER8Z-mVfMlf0UNrjXhU63VOCTrwQnWFwNgmNvRu6pQqbG6-yHMyT8iMwNqw6mZeJQs6vfPe0znBCJMYbx_2LgORv8yhoMIWtxz3spPvBxkRoM5VIYBHRk5dZqNTxN3YdNYFd35Bea4DceVwh_N_ma_3lK56fCzC0ZewYWOmOk_eBCxDc1mpZggV_tPpZNziLzAL76ZPq8doxNOlnctRFMZAfzBo1XEMZfdb9swkHzC16thzqfXHJcW6h5T3iyWvaMcj2vfdKcFkSrY-kWczt3UcoO_yl9QHcCNWUZHx9l-RlbQPbqC1UdF_SdgbjspXgYw8sAEqd6ymIuDxRz8mVVtbCf6Dda2WUUMGSUrhRqR2Z58GDDHvhEqG4GNWKKX8gy8hFX9K5iBXNZyKc2jUrAsaLqYwoVT3EjE8SqyLDg==&p=1&fvj=0&vjs=3,[],"Winnipeg, MB",99,none
2,,Robert Half,43.27,https://ca.indeed.com/viewjob/cmp/Robert-Half,[],"Calgary, AB",99,none
3,Business Analyst - Digital Health,Affinity Staffing,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0D02uQImAu9w-cOcpVzXMSPKLiiLlb0VW9-sFhpR_bbrbX9f7XyLyoNuic6UCXuqD0bJFzpES1m6P51qW1KkCEH_0nuzTFLsL9sFKwlRQ4lcJE7ikEs0jDW-iJIv3h7k8BmAY3dMs5aw18U9lFCxJrKKUbeOBJQiL_7h_pI4d1P5X8yTydXv_2kf3fwA59ue2qdLCfP11MVpGRT26hIhSzlYRfYS61UG3YDEqJGRL2PDVADsOXAO9rkpSTNjaPkL0p1x-A2sBFAq6Rnhp2b_0TBKYI2BV-FQ5u_ky7jBRx53hiu6CPPbSq826rsY52Z9Fc6dI49MigfLhrBzzq5Zw0dNVqKGHr25efGqQjgtxeYxv5FeZm3Oqky5Muln0yTvU-bSDWe8krXfRFVD6-URT_QuNVtjtCWOfiOtjppfp0ByppjtoCy-bZDma7di78VbW3lFRH_lG9I0CJ28jkm6oY5bf9VK9r8Jlof-804CJzAiC6XVsJG0OYk8MHpKNILuFXpJ3Z97zVXrMS0loQBv3n_ecAKq9u9DsIOq7hT4wV99A==&p=3&fvj=0&vjs=3,[],"Toronto, ON",99,none
4,Intermediate Business Systems Analyst,Affinity Staffing,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0D02uQImAu9w-cOcpVzXMSPKLiiLlb0VW9-sFhpR_bbrbX9f7XyLyoNuic6UCXuqD1PmuzxnIYnAhqdFhPE8-1G3UJLvKqeYZiFMKXgSg9D1Li6kYMqTkEitcRdErsRPAYUGIRdH5hn2N0cOPpDfZ4_2daomnfo2j7j2xmqAAZfHI6m9BELb8wqYwwA-64ZwV4fTOBS7gy8F7nz7HwpXmYQipBLn3TPkiOJlBaxsAhrB7AW-My_1jSL2uAQ-vDq7jueteBTxV5OoS1Ir12j2-ZuOZ19t17_d9cp_GmzjkM2aX-rbhyNWSWtLNCObPFC_n3Wc2k0MLn47vfNDf6s6q5X3awtF4tZBTSyD67bb9mJ0l4HfsLFgQuiIJV9hD16lgqvhAEGS3OxD7D78DURt-kvLYHwjQtJzFGyToHwcFfgIKU4Q8twMsQprhk5scMuTkK0WH_nPgujhVIrGpivbEr5tMPV-IbUXR6CIV3XuJ_VWS6Kvp0nYdIt5Hq4zXwso2wfxxGiiJsV8j73lSTmE_AqaF3QDZDAAYyf-ora83Gcg6sCMla6nLgR&p=4&fvj=0&vjs=3,[],"Victoria, BC",99,none
5,Business Intelligence Developer - Microstrategy - 299272,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-gEaU0IKNimeyeYMQ-T30yV9IdU6iEojOtHEz3eMKFS9uGNBbEKxS5RvO-1jBbLqWA3hv3yleNp_ddr_yUIc26vnlJY41WsDhfpBga-mr3aS7UJfsu-57zEbfzizO3JTbLgOAHCFQ1gQuqC9eGkstPd8sG11J2PJT1hO5lcOrHYyydX_0e3PN7138fqUGdIWkqe9VvJygy4XXXJvi8iLDPgAsPAQMKP1CnA1UwKRPOLRnrAJ0WSGWA54k2wqCjnWAHF0or-OOd__NXQ9L1JlARCj-_jg0CN5FywckK_oQ99NmFOI58nhUm4K6ylpav3gj8DlAzTuYhxgYq0UHv7pS1phwhEJ0xPxIcaSZc3JgFkKORUUZZshiCDWs8F47SRRCP2Rd9yYo0neBh5rCdRlXVgomyRrEVhvyGVLuCCV7rUbijPZOPscZMlDarY5GvsmEu2J5F9h4T-JTOg-d4Oj6lI0Af7ukjYpcbO1fvoiZxtBAuiOSdd0iNnXdH938Hb2xJuVeC57SY6BU02XorN6kUouK8HIcQxTfy-ITxGfgBMsa9uHChThvQ9jO2HzpsYzJg==&p=5&fvj=0&vjs=3,[],"Toronto, ON",99,none
6,Business Analyst - Supply Chain - 296882,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-nLMwXF3u7nt_W1_ybLH0QN26WlFckpEj28uAWjDmhNVLcxj2cQOyLbX33IWHX-cOPyzohO_M34KpAKGPd0mkfY5rrZbOqGnHYmt50MCpCyRcYjzzSbBhEvH5HayS_YEgf9C7Hg2waxMRkB1OhYuRICciQlS3akoh5cTqZBZ_LJPP1EawoURWBb6FWLPEjMv6_QiUF1P7jhMoZAZQhS-1oPoeRfhX4eOn87jPLYRihKUZybGcNPbvdPYH9mmL3EEnfLPdIaPnpmyQOJt_dBFTKCr7fqZTq-wCq2uCti-ehNaS19pC7wuUCbGEQjZHjsQrlMmeSmF-pfGs1s8ZqYb-X697_n81PgshquSy-Yg26lX714P8YegnQJGTeKC6xemZ2Gm09cdidkm4LndGjDyl7hf_GgO6ailQwGttauWAviYLAyi1ngQ1yp9RZMLUeCr_JIxrCM4ZrkhLE7gF-b7XMnL0vfz8xdTz-L13p4q40JsNkzmNX1osOKQvn-oAM9JZCuqcQPwq0d6RLqV9bxxUQcUJC67bNWef1JVXMrsy1o4dUf_G3V7asc=&p=6&fvj=0&vjs=3,[],"Toronto, ON",99,none
7,Lead Business Analyst - 299191,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-sVgEAMl2VRgb3OxKP2a3canIHIUEqjD9jKasGdNqc72kGBEFGyLB1dT8zALxaL8XbPN4zyqBmeXU--k_XhYsL-khgiomiwP_x1V559ijthyHYOBGkYMRfYpii8PHAxZ7jbIzFneS3ZQaLyi-8wFEvS5ZHAISUvUUcSKB_v8F0fBXKoj6IoZrLBSL-ELPNSpqImjIXNVxXR44uNx6Wui1B_r7688cAfaXk7plcWIoWn9R7pG14OwJ-isj_k2UXj1sblChq4GsElFZazDe0t4JFq2W9XpzfNtP7tXEVuz5JRGO55EWXsExpM28QrNwyXry7Z4tUYDewjEQulfbHi99Ih-RmK4F9JJujxNB_jMBhu5OWeuBBRyrNvH-GoUrMza17iA7B2lzBB1Jd287_fVabzXp1GWG8r98qi2Zh7pP1stmhS8uzOCCbR8CZLLEXrdY-S1avIL8vYP_LK_fHghui47yJGBt1dxxUR3RsJwMUFmEGXJOgPPLHejMxRInWMdekl2sQXh-sjWsFMuhV3nc1M82uwu9GWexe4x0QyLUgiez0yNkb5jSvQ=&p=7&fvj=0&vjs=3,[],"Burnaby, BC",99,none
8,ERP Functional Analyst - 299057,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-nLMwXF3u7nt_W1_ybLH0QOuHdDqdapRtPXjEgxWNfd9RHxEHkLdIBitvdUakqZSEosWqKh6w-qn8wZcARyJOU_jotH3mdq2qVEpXAE-ywnB2lLi_qBJjrRG_v0eB0q0ZgESMpt3kYC-ztjrnP0nnrrbVvphUqbeC4vn4wtppEydo8dy91ZDLLR7u4mfXPt3NnpBgDsNKNFGbZp2LJmtDTr5M8B21uOniwD7JyNSjYZ0cLq4lryybwK_3D_OkOM8smGTp7gfWrb7kAuIHXaHL-5-LlakJaZU7_6a3YeUxSyC3GW70zgpv3dXUEJ5K9Zdz-DphcxyO4aUm2yEyQA0SkhoeePo57FIzpTuOWgHTRYNV0bs4Mnc_PwrS9eRXRrI-X_LKfEQ9lKwq09fQHXxyol-oGSqZtVYhMgRTSg70_ZGwlf5C1QgdT7R02nTBkVixio7Kq7tANH7fArboPF519U2Hn3IQeXIdhSWEcREFyn1DVTcO0coNXKBB-RfNKcPS6F1Br9m-SkoiqLWrO1H9Mmak-yv88iAI-UXPe3A6x_Axu-9Gxwz618=&p=8&fvj=0&vjs=3,[],"Calgary, AB",99,none
9,Bilingual Capital Markets Business Analyst - 299669,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-nLMwXF3u7nt_W1_ybLH0QND5jE9HQrxORhol5kKdS39mVpRyLwBo-64aM_JbJrsCDiQ_ajK3bdjW0eXNkaofVti3GV9sany3kKrN2KXTFDM2YcSB-rM7yUU50rtEIuSp9m3jUwJOW-UhHW2gFpbRikuLJtim62h5ilOFV81NRjpAvZ6fQWPVutE6qP9USYRa1cqcFLk2tJe9EuzHT9WGaNR1Pr25UMPkyPf8cocI92s3eku3e2E0l11L5-ujrl_LYAKwpoOBYb2XfdfjcrhEqS3bk9CwnSlQkyv3hmJsgM-ngCuBCUVW3_wJIlFsgLxPMA2DByKUpT9i7eyvMPMxxkaHRjyuS-Qkngt6MzfWtIp2NH5xqH7wGLvL-d8jwdvtwZqVpazXd5Q4PKfPQzC1VYJ7nvcw1bN27dX1AGf32bCXJsZ5zib4-IoxCvRP6AOD7BXahI3ziRbKbBzv-_s5R3k3v96SF3QTvkv1NLNREG12rHiE2i_s-PVlefreLtYKRQrc_RgK4g81wM9uVuRyhHwPhZYcecve6_2laQ-DCkNtcQQSGj9HCpZblOBC2Dkkg==&p=9&fvj=0&vjs=3,[],"Toronto, ON",99,none
