,title,company,salary,link,description,location,Minimum Experience Required,Education Required
0,TABLEAU DEVELOPER (SOPHI),The Globe and Mail,None,https://ca.indeed.com/viewjob?jk=fc1458755f9a52f0&fccid=2c209e080b2e73f5&vjs=3,"['data analysis', 'workings', 'work', 'analytical', 'analytics', 'analyt', 'experience working', 'experi', 'stakeholders', 'stakeholder', 'business', 'requirement', 'required', 'requirements', 'require']","Toronto, ON",3,bachelors degree
1,securities analyst,"DeepR Analytics, Inc.",40.87,https://ca.indeed.com/viewjob?jk=76f195c0c030fa08&fccid=b5b8f6b80d60c5c3&vjs=3,"['investment', 'invest', 'work', 'inform', 'information', 'security', 'securities', 'company', 'companies', 'cap', 'business', 'excel', 'excellent']","Toronto, ON",99,none
2,"Analyst, Compensation & Classification",Vancouver Island Health Authority,None,https://ca.indeed.com/viewjob?jk=d3a1d8b3c545e679&fccid=734731cce237a609&vjs=3,"['skills', 'classification', 'resources', 'resource', 'working', 'work', 'excellent', 'health', 'experi', 'experience', 'compensation']","Victoria, BC",2,none
3,"Analyst, Data Management and Anonymization Centre",Desjardins,None,https://ca.indeed.com/viewjob?jk=ce7f05f4ae1e97d7&fccid=d1e5df65baa8857f&vjs=3,"['management', 'data', 'teams', 'team', 'requirements', 'require', 'requires', 'requir', 'projects', 'develop', 'development', 'work', 'working', 'job']","Montréal, QC",99,bachelors degree
4,Business Analyst \ Business Data Analyst ( Banking and Capit...,Globewin Consulting Incorporation,None,https://ca.indeed.com/viewjob?jk=71f97df17cb69d0e&fccid=fd95975d8725bafd&vjs=3,"['data', 'requirements', 'required', 'requir', 'requirement', 'business', 'busi', 'projects', 'project', 'developing', 'develop', 'developers', 'working', 'work', 'case', 'cases', 'level']","Oakville, ON",3,secondary degree
5,Database & Business Analyst,Fluid Life,None,https://ca.indeed.com/viewjob/company/Fluid-Life/jobs/Database-Business-Analyst-490b3bda7f1135e1?fccid=c6d8f6245074bde2&vjs=3,[],"Brantford, ON",99,none
6,data analyst - informatics and systems,EU Health and Innovations Inc.,38.94,https://ca.indeed.com/viewjob?jk=b3fd743f69fdb6b4&fccid=18b8a5794f3457fb&vjs=3,"['softwar', 'work', 'mysql', 'programming', 'languag', 'business', 'server', 'years', 'year']","Thornhill, ON",99,none
7,Data Analyst,OSL Retail Services Inc,None,https://ca.indeed.com/viewjob?jk=2bd4475c87ca4f77&fccid=f0404b5315ab218d&vjs=3,"['reporting', 'reports', 'report', 'data', 'organizations', 'organization', 'organize', 'work', 'works', 'working', 'significant', 'team', 'database', 'databases', 'analytical']","Mississauga, ON",99,none
8,database analyst (DBA),CENTURION HARDWOOD FLOORS LTD,31.5,https://ca.indeed.com/viewjob?jk=d558e40120e2a029&fccid=2f80f4576264f9eb&vjs=3,"['data', 'work', 'database', 'design', 'management', 'travel', 'repetitive', 'task']","Richmond, BC",99,none
9,Senior Data Governance Analyst (Remote),Yelp,None,https://ca.indeed.com/viewjob?jk=4e82dca4666e13db&fccid=0e94073a1c937bd1&vjs=3,"['data', 'governance', 'business', 'yelp', 'working', 'management', 'managing', 'processes', 'process', 'development', 'develop']",Remote,5,none
